"count_id","line","species_id","site_code","liana","count"
83083,1,18,"NDAKANNI","",5.0
83084,2,18,"NDAKANNI","",1.0
83085,4,18,"NDAKANNI","",1.0
83086,5,18,"NDAKANNI","",1.0
83087,6,18,"NDAKANNI","",2.0
83088,8,18,"NDAKANNI","",2.0
83089,9,18,"NDAKANNI","",1.0
83090,10,18,"NDAKANNI","",1.0
83091,8,167,"NDAKANNI","",1.0
83092,7,168,"NDAKANNI","",1.0
83093,4,209,"NDAKANNI","",1.0
83094,7,209,"NDAKANNI","",1.0
83095,5,212,"NDAKANNI","L",1.0
83096,1,316,"NDAKANNI","",1.0
83097,2,316,"NDAKANNI","",1.0
83098,1,319,"NDAKANNI","",1.0
83099,2,322,"NDAKANNI","",1.0
83100,7,323,"NDAKANNI","L",1.0
83101,1,374,"NDAKANNI","",1.0
83102,2,374,"NDAKANNI","",1.0
83103,3,374,"NDAKANNI","",2.0
83104,4,374,"NDAKANNI","",3.0
83105,6,374,"NDAKANNI","",1.0
83106,7,374,"NDAKANNI","",2.0
83107,8,374,"NDAKANNI","",1.0
83108,4,585,"NDAKANNI","L",3.0
83109,2,598,"NDAKANNI","L",1.0
83110,2,599,"NDAKANNI","L",1.0
83111,3,600,"NDAKANNI","L",1.0
83112,5,600,"NDAKANNI","L",1.0
83113,6,600,"NDAKANNI","L",1.0
83114,4,601,"NDAKANNI","L",1.0
83115,6,601,"NDAKANNI","L",3.0
83116,7,601,"NDAKANNI","L",4.0
83117,9,602,"NDAKANNI","L",1.0
83118,1,647,"NDAKANNI","",1.0
83119,2,647,"NDAKANNI","",1.0
83120,3,647,"NDAKANNI","",3.0
83121,4,647,"NDAKANNI","",1.0
83122,6,647,"NDAKANNI","",8.0
83123,7,647,"NDAKANNI","",2.0
83124,8,647,"NDAKANNI","",3.0
83125,9,647,"NDAKANNI","",2.0
83126,10,647,"NDAKANNI","",1.0
83127,9,690,"NDAKANNI","",1.0
83128,10,690,"NDAKANNI","",1.0
83129,10,690,"NDAKANNI","",1.0
83130,1,708,"NDAKANNI","",4.0
83131,2,708,"NDAKANNI","",5.0
83132,3,708,"NDAKANNI","",5.0
83133,4,708,"NDAKANNI","",7.0
83134,6,708,"NDAKANNI","",4.0
83135,7,708,"NDAKANNI","",4.0
83136,8,708,"NDAKANNI","",5.0
83137,5,1833,"NDAKANNI","",1.0
83138,4,1965,"NDAKANNI","",1.0
83139,2,2249,"NDAKANNI","L",1.0
83140,4,2250,"NDAKANNI","L",3.0
83141,7,2251,"NDAKANNI","L",1.0
83142,7,2252,"NDAKANNI","L",1.0
83143,4,2694,"NDAKANNI","L",1.0
83144,8,2694,"NDAKANNI","L",1.0
83145,5,2695,"NDAKANNI","L",1.0
83146,10,2696,"NDAKANNI","L",7.0
83147,7,2697,"NDAKANNI","L",1.0
83148,5,2733,"NDAKANNI","",2.0
83149,6,2733,"NDAKANNI","",1.0
83150,7,2733,"NDAKANNI","",1.0
83151,2,2735,"NDAKANNI","L",1.0
83152,7,2764,"NDAKANNI","L",1.0
83153,2,2818,"NDAKANNI","L",1.0
83154,4,2819,"NDAKANNI","L",1.0
83155,5,3095,"NDAKANNI","L",2.0
83156,1,3154,"NDAKANNI","",6.0
83157,2,3154,"NDAKANNI","",2.0
83158,3,3154,"NDAKANNI","",3.0
83159,4,3154,"NDAKANNI","",2.0
83160,6,3154,"NDAKANNI","",2.0
83161,7,3154,"NDAKANNI","",5.0
83162,8,3154,"NDAKANNI","",1.0
83163,10,3157,"NDAKANNI","",1.0
83164,3,3162,"NDAKANNI","",1.0
83165,6,3162,"NDAKANNI","",3.0
83166,4,3181,"NDAKANNI","",5.0
83167,8,3181,"NDAKANNI","",1.0
83168,8,3213,"NDAKANNI","",1.0
83169,3,3414,"NDAKANNI","",1.0
83170,4,3414,"NDAKANNI","",1.0
83171,5,3556,"NDAKANNI","",1.0
83172,1,3570,"NDAKANNI","",2.0
83173,2,3570,"NDAKANNI","",1.0
