"species_id","family","genus","species","id_level","full_id"
1,"","","","family",0
2,"","","a2","family",0
3,"Acanthaceae","Aphelandra","attenuata","species",1
4,"Acanthaceae","Aphelandra","deppeana","species",1
5,"Acanthaceae","Aphelandra","hieronyma","species",1
6,"Acanthaceae","Aphelandra","m1","genus",0
7,"Acanthaceae","Barleria","m1","genus",0
8,"Acanthaceae","Bravaisia","integerrina","species",1
9,"Acanthaceae","Dicliptera","m1","genus",0
10,"Acanthaceae","Habracanthus","m1","genus",0
11,"Acanthaceae","Habracanthus","sanguineus","species",1
12,"Acanthaceae","Justicia","aurea","species",1
13,"Acanthaceae","M1","m1","family",0
14,"Acanthaceae","Mendoncia","m1","genus",0
15,"Acanthaceae","Mendoncia","retusa","species",1
16,"Acanthaceae","Poikilacanthus","macranthus","species",1
17,"Acanthaceae","Ruellia","macrophylla","species",1
18,"Acanthaceae","Thomandersia","m1","genus",0
19,"Acanthaceae","Thommandersia","hensii","species",1
20,"Aceraceae","Acer","caesium","species",1
21,"Aceraceae","Acer","crataegifolia","species",1
22,"Aceraceae","Acer","negundo","species",1
23,"Aceraceae","Acer","pensylvanicum","species",1
24,"Aceraceae","Acer","platanoides","species",1
25,"Aceraceae","Acer","pseudoplatanus","species",1
26,"Aceraceae","Acer","rubrum","species",1
27,"Aceraceae","Acer","saccarum","species",1
28,"Aceraceae","Acer","saccharinum","species",1
29,"Aceraceae","Acer","saccharum","species",1
30,"Aceraceae","Acer","spicatum","species",1
31,"Achatocarpaceae","Achatocarpus","gracilia","species",1
32,"Achatocarpaceae","Achatocarpus","gracilis","species",1
33,"Achatocarpus","Achatocarpus","gracilis","species",1
34,"Actinidiaceae","Saurauia","brachybotrys","species",1
35,"Actinidiaceae","Saurauia","bullosa","species",1
36,"Actinidiaceae","Saurauia","laevigata","species",1
37,"Actinidiaceae","Saurauia","leucocephala","species",1
38,"Actinidiaceae","Saurauia","m1","genus",0
39,"Actinidiaceae","Saurauia","m2","genus",0
40,"Actinidiaceae","Saurauia","parviflora","species",1
41,"Aextoxicaceae","Aextoxicon","punctatum","species",1
42,"Agavaceae","Agave","m1","genus",0
43,"Agavaceae","Dracaena","adamii","species",1
44,"Agavaceae","Dracaena","elliptica","species",1
45,"Agavaceae","Dracaena","m1","genus",0
46,"Agavaceae","Dracaena","m2","genus",0
47,"Agavaceae","Dracaena","m3","genus",0
48,"Agavaceae","Dracaena","m4","genus",0
49,"Alangiaceae","Alangium","ebenaceum","species",1
50,"Alangiaceae","Alangium","m1","genus",0
51,"Alangiaceae","Alangium","ridleyi","species",1
52,"Amaranthaceae","Chamissoa","acuminata var. maximilianii","species",1
53,"Amaranthaceae","Chamissoa","altissima","species",1
54,"Amaranthaceae","Chamissoa","m1","genus",0
55,"Amaranthaceae","Chamissoa/Tournefortia","m1","genus",0
56,"Amaranthaceae","Chamissoa?","m1","genus",0
57,"Amaranthaceae","Iresine","angustifolia","species",1
58,"Amaranthaceae","Iresine","diffusa","species",1
59,"Amaranthaceae","Iresine","iterrupta","species",1
60,"Amaranthaceae","Iresine","m1","genus",0
61,"Amaranthaceae","Lagrezia","monosperma","species",1
62,"Amaranthaceae","M1","m1","family",0
63,"Amaranthaceae","Pfaffia","paniculata","species",1
64,"Amaranthaceae","Pleuropetalum?","m1","genus",0
65,"Amaranthaceae/Verbenaceae","Aegiphila","m1","genus",0
66,"Anacar/Diaceae","Mangifera","beccarii","species",1
67,"Anacardiaceae","Anacardium","excelsor","species",1
68,"Anacardiaceae","Anacardium","excelsum","species",1
69,"Anacardiaceae","Anacardium","m1","genus",0
70,"Anacardiaceae","Anacardium","occidentalis","species",1
71,"Anacardiaceae","Androtium","astylum","species",1
72,"Anacardiaceae","Astronium","balansae","species",1
73,"Anacardiaceae","Astronium","fraxinifolium","species",1
74,"Anacardiaceae","Astronium","gracile","species",1
75,"Anacardiaceae","Astronium","graveolens","species",1
76,"Anacardiaceae","Astronium","lecontei","species",1
77,"Anacardiaceae","Astronium","m1","genus",0
78,"Anacardiaceae","Astronium","urundeuva","species",1
79,"Anacardiaceae","Buchanania","m1","genus",0
80,"Anacardiaceae","Buchanania","m2","genus",0
81,"Anacardiaceae","Buchanania","reticulata","species",1
82,"Anacardiaceae","Comocladia","engleriana","species",1
83,"Anacardiaceae","Comocladia","glabra","species",1
84,"Anacardiaceae","Comocladia","velutina","species",1
85,"Anacardiaceae","Dracontomelon","brincho","species",1
86,"Anacardiaceae","Dracontomelon","brinco","species",1
87,"Anacardiaceae","Euroschinus","elegans","species",1
88,"Anacardiaceae","Euroschinus","verrucosus","species",1
89,"Anacardiaceae","Gluta","beccarii","species",1
90,"Anacardiaceae","Gluta","cinnamomea","species",1
91,"Anacardiaceae","Gluta","malayana","species",1
92,"Anacardiaceae","Holigarna","grahamii","species",1
93,"Anacardiaceae","Lannea","m1","genus",0
94,"Anacardiaceae","M1","m1","family",0
95,"Anacardiaceae","Mangifera","altissima","species",1
96,"Anacardiaceae","Mangifera","altissima cf","species",1
97,"Anacardiaceae","Mangifera","foetida","species",1
98,"Anacardiaceae","Mangifera","indica","species",1
99,"Anacardiaceae","Mangifera","m1","genus",0
100,"Anacardiaceae","Mangifera","magnifica","species",1
101,"Anacardiaceae","Mangifera","monandra","species",1
102,"Anacardiaceae","Mangifera","quadrifida","species",1
103,"Anacardiaceae","Mangifera","superba","species",1
104,"Anacardiaceae","Mauria","heterophylla","species",1
105,"Anacardiaceae","Mauria","m1","genus",0
106,"Anacardiaceae","Melanochila","angustifolia","species",1
107,"Anacardiaceae","Melanochyla","auriculata","species",1
108,"Anacardiaceae","Melanochyla","tomentosa","species",1
109,"Anacardiaceae","Melanorrhoea","oba","species",1
110,"Anacardiaceae","Melanorrhoea","wallichii","species",1
111,"Anacardiaceae","Metopium","brownei","species",1
112,"Anacardiaceae","Metopium","brownii","species",1
113,"Anacardiaceae","Mosquitoxylon","jamaicense","species",1
114,"Anacardiaceae","Myracodruon","urundeuva","species",1
115,"Anacardiaceae","Ochoterenaea","m1","genus",0
116,"Anacardiaceae","Operculicarya","decaryi","species",1
117,"Anacardiaceae","Parishia","m1","genus",0
118,"Anacardiaceae","Parishia","minor","species",1
119,"Anacardiaceae","Poupartia","minor","species",1
120,"Anacardiaceae","Protorhus","m1","genus",0
121,"Anacardiaceae","Protorhus","m3","genus",0
122,"Anacardiaceae","Protorhus","oblongifolia","species",1
123,"Anacardiaceae","Pseudospondias","microcarpa","species",1
124,"Anacardiaceae","Rhus","copallinum","species",1
125,"Anacardiaceae","Rhus","glabra","species",1
126,"Anacardiaceae","Rhus","mysorensis","species",1
127,"Anacardiaceae","Schinopsis","balansae","species",1
128,"Anacardiaceae","Schinopsis","brasiliensis","species",1
129,"Anacardiaceae","Schinopsis","glabra","species",1
130,"Anacardiaceae","Schinopsis","haenkeana","species",1
131,"Anacardiaceae","Schinopsis","peruviana","species",1
132,"Anacardiaceae","Schinus","piliferus","species",1
133,"Anacardiaceae","Semecarpus","glauca","species",1
134,"Anacardiaceae","Semecarpus","longifolius","species",1
135,"Anacardiaceae","Semecarpus","m1","genus",0
136,"Anacardiaceae","Semecarpus","magnifica","species",1
137,"Anacardiaceae","Semecarpus","trachyphyllus","species",1
138,"Anacardiaceae","Semicarpus","neocaledonica","species",1
139,"Anacardiaceae","Sorindeia","juglandifolia","species",1
140,"Anacardiaceae","Sorindeia","madagascariensis","species",1
141,"Anacardiaceae","Sorindeia","mildbraedii","species",1
142,"Anacardiaceae","Sorindeia","nitidula","species",1
143,"Anacardiaceae","Sorindeia","zenkeri cf","species",1
144,"Anacardiaceae","Spondias","m1","genus",0
145,"Anacardiaceae","Spondias","mombin","species",1
146,"Anacardiaceae","Spondias","purpurea","species",1
147,"Anacardiaceae","Spondias","radlkoferi","species",1
148,"Anacardiaceae","Spondias","radlkoteri","species",1
149,"Anacardiaceae","Swintonia","schwenkei","species",1
150,"Anacardiaceae","Swintonia","spicifera","species",1
151,"Anacardiaceae","Tapiria","guianensis","species",1
152,"Anacardiaceae","Tapirira","guianensis","species",1
153,"Anacardiaceae","Tapirira","m1","genus",0
154,"Anacardiaceae","Thyrsodium","cf spruceanum","species",1
155,"Anacardiaceae","Thyrsodium","m1","genus",0
156,"Anacardiaceae","Thyrsodium","schomburgkiana","species",1
157,"Anacardiaceae","Thyrsodium","spruceanum","species",1
158,"Anacardiaceae","Toxicodendron","ambigua","species",1
159,"Anacardiaceae","Toxicodendron","m1","genus",0
160,"Anacardiaceae","Toxicodendron","radicans","species",1
161,"Anacardiaceae","Toxicodendron","striatum","species",1
162,"Anacardiaceae","Toxicodendron","succedeana","species",1
163,"Anacardiaceae","Toxicodendron","trichocarpa","species",1
164,"Anacardiaceae","Trichoscypha","abut","species",1
165,"Anacardiaceae","Trichoscypha","acuminata","species",1
166,"Anacardiaceae","Trichoscypha","aff acuminata","species",1
167,"Anacardiaceae","Trichoscypha","m1","genus",0
168,"Anacardiaceae","Trichoscypha","m2","genus",0
169,"Anacardiaceae","Unonopsis","stipitata","species",1
170,"Ancistrocladaceae","Ancistrocladus","barteri","species",1
171,"Ancistrocladaceae","Ancistrocladus","ealaensis","species",1
172,"Anisophyleaceae","Anisophyllea","corneri","species",1
173,"Anisophyleaceae","Gluta","malayana","species",1
174,"Anisophylleaceae","Poga","oleosa","species",1
175,"Annonaceae","Alphonsea","elliptica","species",1
176,"Annonaceae","Alphonsea","johorenis","species",1
177,"Annonaceae","Alphonsea","maingayi","species",1
178,"Annonaceae","Anaxagorea Cf","m1","genus",0
179,"Annonaceae","Anaxagorea","brachycarpa","species",1
180,"Annonaceae","Anaxagorea","brevipes","species",1
181,"Annonaceae","Anaxagorea","crassipetala","species",1
182,"Annonaceae","Anaxagorea","dolichocarpa","species",1
183,"Annonaceae","Anaxagorea","javanica","species",1
184,"Annonaceae","Anaxagorea","jovanica","species",1
185,"Annonaceae","Anaxagorea","m1","genus",0
186,"Annonaceae","Anaxagorea","phaeocarpa","species",1
187,"Annonaceae","Anaxogorea","m1","genus",0
188,"Annonaceae","Annona","aff ambotay","species",1
189,"Annonaceae","Annona","aff impressivenia","species",1
190,"Annonaceae","Annona","ambotay","species",1
191,"Annonaceae","Annona","ambotay?","species",1
192,"Annonaceae","Annona","cf foetida","species",1
193,"Annonaceae","Annona","duckei","species",1
194,"Annonaceae","Annona","hayesii","species",1
195,"Annonaceae","Annona","holosericea","species",1
196,"Annonaceae","Annona","hypoglauca","species",1
197,"Annonaceae","Annona","hystricomorpha","species",1
198,"Annonaceae","Annona","jahnii","species",1
199,"Annonaceae","Annona","m1","genus",0
200,"Annonaceae","Annona","m2","genus",0
201,"Annonaceae","Annona","m3","genus",0
202,"Annonaceae","Annona","montana","species",1
203,"Annonaceae","Annona","palmeri","species",1
204,"Annonaceae","Annona","purpurea","species",1
205,"Annonaceae","Annona","scandens","species",1
206,"Annonaceae","Annona","spraguei","species",1
207,"Annonaceae","Annona?","m1","genus",0
208,"Annonaceae","Anomianthus","dulcis","species",1
209,"Annonaceae","Anonidium","mannii","species",1
210,"Annonaceae","Artabotrys","borneensis","species",1
211,"Annonaceae","Artabotrys","brachypetalus","species",1
212,"Annonaceae","Artabotrys","m1","genus",0
213,"Annonaceae","Artabotrys","m2","genus",0
214,"Annonaceae","Artabotrys","m3","genus",0
215,"Annonaceae","Artabotrys","rhopalocarpus","species",1
216,"Annonaceae","Artabotrys","zeylanicus","species",1
217,"Annonaceae","Asimina","triloba","species",1
218,"Annonaceae","Aspidosperma","magaphyllum","species",1
219,"Annonaceae","Bocageopsis","cf multiflora","species",1
220,"Annonaceae","Bocageopsis","m1","genus",0
221,"Annonaceae","Bocageopsis","multiflora","species",1
222,"Annonaceae","Bocageopsis?","m1","genus",0
223,"Annonaceae","Cf Guatteria/Dendrobangia","m1","genus",0
224,"Annonaceae","Cleistopholis","m1","genus",0
225,"Annonaceae","Cleistopholis","m2","genus",0
226,"Annonaceae","Cleistopholis","patens","species",1
227,"Annonaceae","Cremastosperma","gracilipes","species",1
228,"Annonaceae","Cremastosperma","m1","genus",0
229,"Annonaceae","Cremastosperma","microcarpum","species",1
230,"Annonaceae","Cremastosperma","pacificum","species",1
231,"Annonaceae","Cremastosperma","seiophylla?","species",1
232,"Annonaceae","Crematosperma","cauliflorum","species",1
233,"Annonaceae","Crematosperma","microcarpum","species",1
234,"Annonaceae","Cyathestemma?","m1","genus",0
235,"Annonaceae","Cyathocalyx","havilandii","species",1
236,"Annonaceae","Cyathocalyx","m1","genus",0
237,"Annonaceae","Cyathocalyx","m2","genus",0
238,"Annonaceae","Cyathostemma","excelsa","species",1
239,"Annonaceae","Cyathostemma","m1","genus",0
240,"Annonaceae","Cyathostemma","m2","genus",0
241,"Annonaceae","Cymbopetalum","m1","genus",0
242,"Annonaceae","Cymbopetalum","penduliflora","species",1
243,"Annonaceae","Dasymaschalon","clusiiflorum","species",1
244,"Annonaceae","Desmopsis","heterosepala","species",1
245,"Annonaceae","Desmopsis","m1","genus",0
246,"Annonaceae","Desmopsis","panamensis","species",1
247,"Annonaceae","Desmos","cochinchinensis","species",1
248,"Annonaceae","Desmos","m1","genus",0
249,"Annonaceae","Diclinanona","m1","genus",0
250,"Annonaceae","Diclinanona","tessmannii","species",1
251,"Annonaceae","Duguetia Cf","m1","genus",0
252,"Annonaceae","Duguetia","cauliflora","species",1
253,"Annonaceae","Duguetia","flagellaris","species",1
254,"Annonaceae","Duguetia","latifolia","species",1
255,"Annonaceae","Duguetia","m1","genus",0
256,"Annonaceae","Duguetia","m2","genus",0
257,"Annonaceae","Duguetia","m3","genus",0
258,"Annonaceae","Duguetia","m4","genus",0
259,"Annonaceae","Duguetia","m5","genus",0
260,"Annonaceae","Duguetia","macrophylla","species",1
261,"Annonaceae","Duguetia","odorata","species",1
262,"Annonaceae","Duguetia","paraensis","species",1
263,"Annonaceae","Duguetia","peruviana","species",1
264,"Annonaceae","Duguetia","pycnestera","species",1
265,"Annonaceae","Duguetia","quitarensis","species",1
266,"Annonaceae","Duguetia","spixiana","species",1
267,"Annonaceae","Duguetia","trunciflora","species",1
268,"Annonaceae","Duguetia?","m1","genus",0
269,"Annonaceae","Ellipeia?","m1","genus",0
270,"Annonaceae","Enantia","chlorantha","species",1
271,"Annonaceae","Enantia","m1","genus",0
272,"Annonaceae","Enicosanthum","fuscum","species",1
273,"Annonaceae","Enicosanthum","grandifolium","species",1
274,"Annonaceae","Ephedranthus","guianensis","species",1
275,"Annonaceae","Fissistigma","glaucescens","species",1
276,"Annonaceae","Fissistigma","m1","genus",0
277,"Annonaceae","Fissistigma?","m2","genus",0
278,"Annonaceae","Friesedielsia","desmos cf","species",1
279,"Annonaceae","Friesodielsia","engleriana","species",1
280,"Annonaceae","Friesodielsia","m1","genus",0
281,"Annonaceae","Fusaea Aff","m1","genus",0
282,"Annonaceae","Fusaea","longifolia","species",1
283,"Annonaceae","Fusaea","m1","genus",0
284,"Annonaceae","Goniothalamus","m1","genus",0
285,"Annonaceae","Goniothalamus","m2","genus",0
286,"Annonaceae","Goniothalamus","malayanus","species",1
287,"Annonaceae","Goniothalamus","rufus","species",1
288,"Annonaceae","Guatteria","acutissima","species",1
289,"Annonaceae","Guatteria","aerruginosei","species",1
290,"Annonaceae","Guatteria","aeruginosa","species",1
291,"Annonaceae","Guatteria","aff cargadero","species",1
292,"Annonaceae","Guatteria","aff ulea","species",1
293,"Annonaceae","Guatteria","amplifolia","species",1
294,"Annonaceae","Guatteria","bilariana","species",1
295,"Annonaceae","Guatteria","boliviana","species",1
296,"Annonaceae","Guatteria","brevicuspis","species",1
297,"Annonaceae","Guatteria","cargadero","species",1
298,"Annonaceae","Guatteria","cf amplifolia","species",1
299,"Annonaceae","Guatteria","dioscoreoides","species",1
300,"Annonaceae","Guatteria","dumetorum","species",1
301,"Annonaceae","Guatteria","dumetorum cf","species",1
302,"Annonaceae","Guatteria","m1","genus",0
303,"Annonaceae","Guatteria","m2","genus",0
304,"Annonaceae","Guatteria","m3","genus",0
305,"Annonaceae","Guatteria","m4","genus",0
306,"Annonaceae","Guatteria","m5","genus",0
307,"Annonaceae","Guatteria","megalophylla","species",1
308,"Annonaceae","Guatteria","multinervia","species",1
309,"Annonaceae","Guatteria","pilosula","species",1
310,"Annonaceae","Guatteria","recurvisepala","species",1
311,"Annonaceae","Guatteria","schomburgkiana","species",1
312,"Annonaceae","Guatteria","schomburkiana","species",1
313,"Annonaceae","Guatteria","scytophylla","species",1
314,"Annonaceae","Guatteria","ulea","species",1
315,"Annonaceae","Guatteriopsis","sessiflora","species",1
316,"Annonaceae","Isolona","hexaloba","species",1
317,"Annonaceae","Isolona","m1","genus",0
318,"Annonaceae","M","m1","family",0
319,"Annonaceae","M1","m1","family",0
320,"Annonaceae","M1","m1`","species",1
321,"Annonaceae","M1","m2","family",0
322,"Annonaceae","M2","m1","family",0
323,"Annonaceae","M3","m1","family",0
324,"Annonaceae","M4","m1","family",0
325,"Annonaceae","Malmea Cf","m1","genus",0
326,"Annonaceae","Malmea","aff anomala","species",1
327,"Annonaceae","Malmea","anomala","species",1
328,"Annonaceae","Malmea","depressa","species",1
329,"Annonaceae","Malmea","dielsiana","species",1
330,"Annonaceae","Malmea","lucida","species",1
331,"Annonaceae","Malmea","m1","genus",0
332,"Annonaceae","Malmea?","m1","genus",0
333,"Annonaceae","Mitrephora","cariniana cf","species",1
334,"Annonaceae","Mitrephora","glabra","species",1
335,"Annonaceae","Mitrephora","m1","genus",0
336,"Annonaceae","Mitrephora","maingayi","species",1
337,"Annonaceae","Monanthotaxis","laurentii","species",1
338,"Annonaceae","Monanthotaxis","m1","genus",0
339,"Annonaceae","Monocarpia","marginalis","species",1
340,"Annonaceae","Monodora","myristica","species",1
341,"Annonaceae","Neouvaria","acuminatissima","species",1
342,"Annonaceae","Oncodostigma","monosperma","species",1
343,"Annonaceae","Oxandra Cf","m1","genus",0
344,"Annonaceae","Oxandra","acuminata","species",1
345,"Annonaceae","Oxandra","aff xylopioides","species",1
346,"Annonaceae","Oxandra","espintana","species",1
347,"Annonaceae","Oxandra","euneura","species",1
348,"Annonaceae","Oxandra","lanceolata","species",1
