country_co2,country_popn
Bahamas,"Bahamas, The"
Bolivia (Plurinational State of),Bolivia
Democratic Republic of the Congo,"Congo, Dem. Rep."
Congo,"Congo, Rep."
C™te d Ivoire,Cote d'Ivoire
Egypt,"Egypt, Arab Rep."
Faroe Islands,Faeroe Islands
Gambia,"Gambia, The"
"China, Hong Kong SAR","Hong Kong SAR, China"
Iran (Islamic Republic of),"Iran, Islamic Rep."
Democratic People s Republic of Korea,"Korea, Dem. Rep."
Republic of Korea,"Korea, Rep."
Kyrgyzstan,Kyrgyz Republic
"China, Macao SAR","Macao SAR, China"
The former Yugoslav Republic of Macedonia,"Macedonia, FYR"
Republic of Moldova,Moldova
Serbia and Montenegro,Serbia
Slovakia,Slovak Republic
Saint Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
Sudan (former),Sudan
United Republic of Tanzania,Tanzania
United States of America,United States
Venezuela (Bolivarian Republic of),"Venezuela, RB"
Viet Nam,Vietnam
United States Virgin Islands,Virgin Islands (U.S.)
Yemen,"Yemen, Rep."
