Species,ScieName,SpeciesGrp,YearC,Decade,Status,PartyName,Flag,Fleet,Stock,SampArea,AreaT1,SpcGearGrp,GearGrp,GearCode,CatchTypeCode,QualInfoCode,Qty_t
PXX,Pelagic Sharks nei,5-Sharks (other),1994,1990,CP,UNITED KINGDOM (O.Territories),UK.Bermuda,UK.BMU,A+M,LLBE46,SE,All gears,LL,LL,C,UNKN,36
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,St VINCENT & GRENADINES,St. Vincent and Grenadines,VCT,A+M,unkn,NW,All gears,TR,TROL,L,RPT1,2.5
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,URUGUAY,Uruguay,URY,ATS,unkn,SW,All gears,LL,LLHB,L,RPT1,8
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,130
RSK,Carcharhinidae,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,339
SPN,Sphyrna spp,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,13
CCP,Carcharhinus plumbeus,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,14
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED KINGDOM (O.Territories),UK.Sta Helena,UK.SHN,A+M,unkn,SE,All gears,LL,LL,L,RPT1,1.96
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATN,unkn,NE,All gears,LL,LL-surf,C,RPT1,8.2
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,ATN,unkn,WTRO,Longline,LL,LLHB,L,RPT1,6
LMA,Isurus paucus,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,2
ALV,Alopias vulpinus,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,10
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,41
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,LL,LLHB,C,RPT1,223.308
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,TW,TRAW,C,RPT1,0.785
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,HL,HAND,C,RPT1,0.207
