Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,LUGOBA,6,female,30,very_dissatisf
no,KISOWERA,30,female,40,satisfied
yes,KISOWERA,15,male,29,satisfied
yes,GOOD HOPE,1,female,42,very_satisfied
yes,LUGOBA,2,male,23,satisfied
no,CORNER,3,female,30,very_dissatisf
yes,LUGOBA,3,male,26,satisfied
yes,GOOD HOPE,13,female,32,very_dissatisf
yes,LUGOBA,1,female,25,satisfied
no,LUMUMBA HALL,2,male,22,satisfied
no,LUGOBA,9,female,30,very_dissatisf
yes,LUGOBA,35,female,35,very_dissatisf
no,CORNER,10,male,29,very_dissatisf
yes,MAYINJA,4,female,24,very_dissatisf
no,KISOWERA,35,female,51,dissatisfied
yes,GOOD HOPE,10,female,35,very_dissatisf
yes,LUGOBA,2,female,23,satisfied
yes,MAYINJA,28,female,28,dissatisfied
no,CORNER,20,male,25,very_dissatisf
yes,LUGOBA,4,female,32,neither_satisf
no,KISOWERA,5,male,24,satisfied
no,LUGOBA,1,male,31,dissatisfied
yes,MAYINJA,10,female,32,satisfied
no,KISOWERA,18,female,37,satisfied
no,CORNER,5,female,26,dissatisfied
yes,GOOD HOPE,6,male,35,neither_satisf
no,KISOWERA,15,male,37,satisfied
no,CORNER,4,male,19,satisfied
no,LUMUMBA HALL,1,male,21,very_satisfied
no,LUMUMBA HALL,3,male,24,neither_satisf
no,LUMUMBA HALL,2,male,23,neither_satisf
yes,GOOD HOPE,2,male,28,neither_satisf
yes,LUGOBA,6,male,38,very_dissatisf
no,LUGOBA,8,female,34,dissatisfied
no,LUMUMBA HALL,1,male,20,satisfied
yes,LUGOBA,3,female,28,very_dissatisf
no,CORNER,20,male,20,very_dissatisf
yes,LUGOBA,4,male,19,very_dissatisf
no,LUMUMBA HALL,1,male,22,very_satisfied
yes,MAYINJA,20,male,59,very_dissatisf
no,KISOWERA,3,male,32,dissatisfied
no,CORNER,26,male,28,dissatisfied
no,KISOWERA,27,male,27,very_dissatisf
no,KISOWERA,33,female,45,very_dissatisf
no,KISOWERA,5,female,35,very_dissatisf
no,KISOWERA,1,female,28,satisfied
no,KISOWERA,50,female,54,satisfied
yes,LUMUMBA HALL,9,male,20,satisfied
no,LUGOBA,6,male,27,satisfied
yes,LUMUMBA HALL,4,male,23,neither_satisf
no,CORNER,5,male,21,satisfied
no,LUGOBA,1,male,23,dissatisfied
yes,MAYINJA,18,female,21,very_dissatisf
no,KISOWERA,2,male,21,dissatisfied
yes,MAYINJA,10,female,35,very_dissatisf
yes,GOOD HOPE,3,male,23,satisfied
yes,GOOD HOPE,25,female,42,neither_satisf
yes,GOOD HOPE,5,male,47,dissatisfied
no,CORNER,5,male,29,very_dissatisf
yes,MAYINJA,18,male,24,very_dissatisf
yes,GOOD HOPE,2,male,36,satisfied
yes,MAYINJA,5,female,22,very_dissatisf
yes,GOOD HOPE,10,female,39,dissatisfied
yes,MAYINJA,18,male,61,very_dissatisf
yes,MAYINJA,31,female,52,very_dissatisf
yes,MAYINJA,16,female,28,very_dissatisf
yes,MAYINJA,6,female,42,very_dissatisf
yes,MAYINJA,6,male,26,very_dissatisf
yes,GOOD HOPE,20,male,50,satisfied
yes,KISUGU CENTRAL,6,male,29,dissatisfied
no,MARKET A,20,male,34,satisfied
no,LUBOWA,2,female,39,very_dissatisf
no,NAMUWONGO B,10,male,19,very_dissatisf
no,NAMUWONGO B,7,male,28,satisfied
no,NAMUWONGO B,5,male,32,dissatisfied
yes,WASAWA,51,male,51,very_dissatisf
no,LUBOWA,2,female,22,satisfied
no,MARKET A,40,male,40,satisfied
no,NAMUWONGO B,3,male,56,dissatisfied
no,LUBOWA,3,male,28,dissatisfied
no,MARKET A,15,female,35,dissatisfied
yes,WASAWA,59,male,58,very_dissatisf
no,KIWAFU,1,male,23,dissatisfied
