date,static_level
Jan-00,-44
Feb-00,-42
Mar-00,-41
Apr-00,-40
May-00,-27
Jun-00,-38
Jul-00,-44
Aug-00,
Sep-00,-54
Oct-00,-49
Nov-00,-48
Dec-00,-47
1-Jan,-43
1-Feb,-15
1-Mar,
1-Apr,-14
1-May,-28
1-Jun,-31
1-Jul,-35
1-Aug,-36
1-Sep,-40
1-Oct,-35
1-Nov,-35
1-Dec,-14
2-Jan,-10
2-Feb,-11
2-Mar,-31
2-Apr,-27
2-May,-26
2-Jun,-35
2-Jul,-35
2-Aug,-38
2-Sep,
2-Oct,-35
2-Nov,-36
2-Dec,-36
3-Jan,
3-Feb,
3-Mar,
3-Apr,-29
3-May,-29
3-Jun,
3-Jul,-30
3-Aug,-30
3-Sep,-32
3-Oct,-30
3-Nov,-33
3-Dec,-29
4-Jan,
4-Feb,-30
4-Mar,
4-Apr,-24
4-May,-27
4-Jun,-29
4-Jul,-29
4-Aug,
4-Sep,-30
4-Oct,-30
4-Nov,-28
4-Dec,-28
5-Jan,-25
5-Feb,-4
5-Mar,-1
5-Apr,
5-May,0
5-Jun,-7
5-Jul,-20
5-Aug,-25
5-Sep,-35
5-Oct,-40
5-Nov,-39
5-Dec,-32
6-Jan,-32
6-Feb,-30
6-Mar,
6-Apr,-20
6-May,
6-Jun,-29
6-Jul,-24
6-Aug,-33
6-Sep,-37
6-Oct,-32
6-Nov,-32
6-Dec,-32
7-Jan,-25
7-Feb,-25
7-Mar,-24
7-Apr,-24
7-May,-33
7-Jun,-38
7-Jul,-45
7-Aug,-40
7-Sep,-40
7-Oct,-41
7-Nov,
7-Dec,
8-Jan,
8-Feb,-15
8-Mar,
8-Apr,-26
8-May,-45
8-Jun,-45
8-Jul,-47
8-Aug,
8-Sep,
8-Oct,-44
8-Nov,
8-Dec,-45
9-Jan,-26
9-Feb,-25
9-Mar,-35
9-Apr,
9-May,-48
9-Jun,-52
9-Jul,
9-Aug,-57
9-Sep,-58
9-Oct,-57
9-Nov,-54
9-Dec,
10-Jan,-33
10-Feb,-50
10-Mar,
10-Apr,-50
10-May,
10-Jun,
10-Jul,
10-Aug,
10-Sep,
10-Oct,-67
10-Nov,
10-Dec,
11-Jan,-45
11-Feb,
11-Mar,-32
11-Apr,-35
11-May,-79
11-Jun,-40
11-Jul,-50
11-Aug,-55
11-Sep,
11-Oct,-50
11-Nov,
11-Dec,-41
12-Jan,-30
12-Feb,-36
12-Mar,-36
12-Apr,-38
12-May,
12-Jun,-36
12-Jul,-54
12-Aug,
12-Sep,-54
12-Oct,-55
12-Nov,-49
12-Dec,-59
13-Jan,-57
13-Feb,-51
13-Mar,-52
13-Apr,-51
13-May,-49
13-Jun,-57
13-Jul,-62
13-Aug,-62
13-Sep,-74
13-Oct,-63
13-Nov,-59
13-Dec,-55
14-Jan,-54
14-Feb,-55
14-Mar,-58
14-Apr,-65
14-May,-66.5
14-Jun,-66
14-Jul,-64
14-Aug,-68
14-Sep,-66
14-Oct,-67
14-Nov,-73
14-Dec,-72
15-Jan,-71
15-Feb,-71
15-Mar,-61
15-Apr,-66
15-May,-74
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2/15/15,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2/11/15,
