Year,Month,Fishery,Spp,Price
1990,JAN,Artisanal,pargo seda,"193,51"
1990,FEB,Artisanal,pargo seda,"229,39"
1990,MAR,Artisanal,pargo seda,"282,36"
1990,APR,Artisanal,pargo seda,"222,12"
1990,MAY,Artisanal,pargo seda,"150,15"
1990,JUN,Artisanal,pargo seda,"145,39"
1990,JUL,Artisanal,pargo seda,"147,31"
1990,AUG,Artisanal,pargo seda,"152,66"
1990,SEP,Artisanal,pargo seda,"177,43"
1990,OCT,Artisanal,pargo seda,"154,59"
1990,NOV,Artisanal,pargo seda,"252,38"
1990,DEC,Artisanal,pargo seda,"224,15"
1990,JAN,Industrial,pargo,"115,00"
1990,FEB,Industrial,pargo,"160,00"
1990,MAR,Industrial,pargo,"124,00"
1990,APR,Industrial,pargo,"86,30"
1990,MAY,Industrial,pargo,"104,00"
1990,JUN,Industrial,pargo,"110,00"
1990,JUL,Industrial,pargo,"108,40"
1990,AUG,Industrial,pargo,"115,75"
1990,SEP,Industrial,pargo,"112,95"
1990,OCT,Industrial,pargo,"128,80"
1990,NOV,Industrial,pargo,"127,60"
1990,DEC,Industrial,pargo,"92,00"
1990,JAN,Industrial,pargo pequeno,"64,85"
1990,FEB,Industrial,pargo pequeno,"63,95"
1990,MAR,Industrial,pargo pequeno,"53,90"
1990,APR,Industrial,pargo pequeno,"61,90"
1990,MAY,Industrial,pargo pequeno,"66,70"
1990,JUN,Industrial,pargo pequeno,"87,45"
1990,JUL,Industrial,pargo pequeno,"63,20"
1990,AUG,Industrial,pargo pequeno,"82,35"
1990,SEP,Industrial,pargo pequeno,"106,00"
1990,OCT,Industrial,pargo pequeno,"103,50"
1990,NOV,Industrial,pargo pequeno,"105,20"
1990,DEC,Industrial,pargo pequeno,"72,75"
1990,JAN,Industrial,pargo coliamarilla,
1990,FEB,Industrial,pargo coliamarilla,
1990,MAR,Industrial,pargo coliamarilla,
1990,APR,Industrial,pargo coliamarilla,
1990,MAY,Industrial,pargo coliamarilla,
1990,JUN,Industrial,pargo coliamarilla,"103,00"
1990,JUL,Industrial,pargo coliamarilla,
1990,AUG,Industrial,pargo coliamarilla,"185,00"
1990,SEP,Industrial,pargo coliamarilla,
1990,OCT,Industrial,pargo coliamarilla,
1990,NOV,Industrial,pargo coliamarilla,
1990,DEC,Industrial,pargo coliamarilla,"110,00"
1991,JAN,Artisanal,pargo seda,"261,00"
1991,FEB,Artisanal,pargo seda,"297,00"
1991,MAR,Artisanal,pargo seda,"330,20"
1991,APR,Artisanal,pargo seda,"335,01"
1991,MAY,Artisanal,pargo seda,"175,79"
1991,JUN,Artisanal,pargo seda,"138,82"
1991,JUL,Artisanal,pargo seda,"157,24"
1991,AUG,Artisanal,pargo seda,"196,29"
1991,SEP,Artisanal,pargo seda,"227,79"
1991,OCT,Artisanal,pargo seda,"261,94"
1991,NOV,Artisanal,pargo seda,"278,95"
1991,DEC,Artisanal,pargo seda,"198,22"
1992,JAN,Artisanal,pargo seda,"285,74"
1992,FEB,Artisanal,pargo seda,"333,04"
1992,MAR,Artisanal,pargo seda,"369,58"
1992,APR,Artisanal,pargo seda,"356,88"
1992,MAY,Artisanal,pargo seda,"195,11"
1992,JUN,Artisanal,pargo seda,"212,58"
1992,JUL,Artisanal,pargo seda,"214,41"
1992,AUG,Artisanal,pargo seda,"287,44"
1992,SEP,Artisanal,pargo seda,"323,33"
1992,OCT,Artisanal,pargo seda,"274,93"
1992,NOV,Artisanal,pargo seda,"263,33"
1992,DEC,Artisanal,pargo seda,"292,99"
1992,JAN,Industrial,pargo seda,
1992,FEB,Industrial,pargo seda,
1992,MAR,Industrial,pargo seda,
1992,APR,Industrial,pargo seda,"325,00"
1992,MAY,Industrial,pargo seda,
1992,JUN,Industrial,pargo seda,
1992,JUL,Industrial,pargo seda,
1992,AUG,Industrial,pargo seda,
1992,SEP,Industrial,pargo seda,
1992,OCT,Industrial,pargo seda,
1992,NOV,Industrial,pargo seda,
1992,DEC,Industrial,pargo seda,
1993,JAN,Artisanal,pargo seda,"330,38"
1993,FEB,Artisanal,pargo seda,"336,69"
1993,MAR,Artisanal,pargo seda,"300,64"
1993,APR,Artisanal,pargo seda,"312,39"
