country_code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,statistics_year,ug/m3,above_DLV?
AT,Klagenfurt,AT2KA71,Background,urban,SO2,2013,5.8,0
AT,Linz,AT4S415,Traffic,urban,SO2,2013,12.2,0
AT,Linz,AT4S416,Background,urban,SO2,2013,23.3,0
AT,Salzburg,AT51200,Background,urban,SO2,2013,4.9,0
AT,Graz,AT60138,Background,suburban,SO2,2013,9.3,0
AT,Graz,AT60164,Traffic,urban,SO2,2013,6.1,0
AT,Graz,AT60170,Background,urban,SO2,2013,5.7,0
AT,Innsbruck,AT72110,Traffic,urban,SO2,2013,7.5,0
AT,Wien,AT900ZA,Background,urban,SO2,2013,11.4,0
AT,Wien,AT9JAEG,Background,suburban,SO2,2013,12,0
AT,Wien,AT9RINN,Traffic,urban,SO2,2013,6.4,0
AT,Wien,AT9SCHA,Background,suburban,SO2,2013,12.2,0
AT,Wien,AT9STAD,Background,urban,SO2,2013,13.6,0
AT,Wien,AT9STEF,Background,urban,SO2,2013,10.4,0
BE,Antwerpen,BELHB23,Background,suburban,SO2,2013,47.1,0
BE,Bruxelles / Brussel,BETB008,Traffic,urban,SO2,2013,10.8,0
BE,Liège,BETH201,Background,suburban,SO2,2013,12.1,0
BE,Bruxelles / Brussel,BETMEU1,Background,suburban,SO2,2013,10.6,0
BE,Mons,BETN070,Background,suburban,SO2,2013,4.6,0
BE,Bruxelles / Brussel,BETR001,Traffic,urban,SO2,2013,10.8,0
BE,Bruxelles / Brussel,BETR002,Traffic,suburban,SO2,2013,8.6,0
BE,Bruxelles / Brussel,BETR012,Background,suburban,SO2,2013,10,0
BE,Liège,BETR221,Background,urban,SO2,2013,6.5,0
BE,Liège,BETR222,Background,suburban,SO2,2013,11.3,0
BE,Gent,BETR701,Background,urban,SO2,2013,9.5,0
BE,Antwerpen,BETR801,Traffic,urban,SO2,2013,9.9,0
BE,Bruxelles / Brussel,BETWOL1,Traffic,suburban,SO2,2013,8.4,0
BG,Pleven,BG0019A,Background,urban,SO2,2013,19.4,0
BG,Shumen,BG0038A,Background,urban,SO2,2013,18.4,0
BG,Sofia,BG0040A,Background,suburban,SO2,2013,29.7,0
BG,Vratsa,BG0043A,Background,urban,SO2,2013,49.7,0
BG,Burgas,BG0044A,Background,suburban,SO2,2013,68.2,0
BG,Ruse,BG0045A,Background,suburban,SO2,2013,28.4,0
BG,Pernik,BG0049A,Traffic,suburban,SO2,2013,116.8,0
BG,Sofia,BG0050A,Background,suburban,SO2,2013,21,0
BG,Plovdiv,BG0051A,Background,urban,SO2,2013,51.5,0
BG,Sofia,BG0052A,Background,suburban,SO2,2013,21.9,0
BG,Sofia,BG0054A,Traffic,urban,SO2,2013,21.7,0
BG,Stara Zagora,BG0055A,Traffic,urban,SO2,2013,50.6,0
BG,Burgas,BG0056A,Background,suburban,SO2,2013,60.2,0
BG,Blagoevgrad,BG0058A,Background,suburban,SO2,2013,47.7,0
BG,Vidin,BG0068A,Traffic,urban,SO2,2013,47.9,0
BG,Sliven,BG0069A,Traffic,urban,SO2,2013,85.9,0
BG,Plovdiv,BG0072A,Traffic,urban,SO2,2013,56.8,0
BG,Sofia,BG0073A,Traffic,urban,SO2,2013,35.8,0
BG,Varna,BG0074A,Background,urban,SO2,2013,23.3,0
BG,Varna,BG0075A,background,urban,SO2,2013,27.2,0
CH,Zürich,CH0010A,Background,urban,SO2,2013,7.4,0
CH,Lugano,CH0011A,Background,urban,SO2,2013,10.3,0
CH,Zürich,CH0013A,Traffic,urban,SO2,2013,5.6,0
CH,Zürich,CH0021A,Traffic,urban,SO2,2013,8.3,0
CY,Lefkosia,CY0004A,Traffic,urban,SO2,2013,7.1,0
CZ,Praha,CZ0ALIB,Background,suburban,SO2,2013,24.8,0
CZ,Praha,CZ0ARIE,Background,urban,SO2,2013,20.1,0
CZ,Praha,CZ0ASUC,Background,suburban,SO2,2013,22.7,0
CZ,Brno,CZ0BBNY,Background,suburban,SO2,2013,19.5,0
CZ,Ceské Budejovice,CZ0CCBD,Background,urban,SO2,2013,16.2,0
CZ,Pardubice,CZ0EPAO,Background,suburban,SO2,2013,24.9,0
CZ,Pardubice,CZ0EPAU,Background,urban,SO2,2013,25.3,0
CZ,Jihlava,CZ0JJIH,Background,urban,SO2,2013,10.5,0
CZ,Liberec,CZ0LLIM,Background,urban,SO2,2013,16.5,0
CZ,Plzen,CZ0PPLA,Traffic,urban,SO2,2013,18.3,0
CZ,Plzen,CZ0PPLB,Background,urban,SO2,2013,20.7,0
CZ,Plzen,CZ0PPLE,Traffic,urban,SO2,2013,29.2,0
CZ,Plzen,CZ0PPLL,Background,urban,SO2,2013,22.1,0
CZ,Plzen,CZ0PPLS,Background,suburban,SO2,2013,33.4,0
CZ,Plzen,CZ0PPLV,Background,suburban,SO2,2013,24,0
CZ,Kladno,CZ0SKLS,Background,urban,SO2,2013,27.8,0
CZ,Karviná,CZ0TKAR,Background,urban,SO2,2013,44.4,0
CZ,Ostrava,CZ0TOFF,Background,urban,SO2,2013,35.6,0
CZ,Ostrava,CZ0TOPO,Background,suburban,SO2,2013,29.3,0
CZ,Ústí nad Labem,CZ0UULK,Background,suburban,SO2,2013,39.3,0
