"","city_name","n"
"1","<da>st<ed> nad Labem",2
"2","<U+008A>iauliai",1
"3","A Coru<f1>a",2
"4","Aalborg",1
"5","Aix-en-Provence",1
"6","Ajaccio",1
"7","Alba Iulia",1
"8","Albi",1
"9","Alcal<e1> de Henares",1
"10","Alicante/Alacant",2
"11","Almer<ed>a",1
"12","Amsterdam",1
"13","Antwerpen",2
"14","Arad",2
"15","Arrecife",1
"16","Asti",1
"17","Athina",2
"18","Augsburg",2
"19","Avil<e9>s",2
"20","Bacau",1
"21","Badajoz",1
"22","Badalona",2
"23","Baia Mare",3
"24","Bansk<e1> Bystrica",1
"25","Barakaldo",1
"26","Barcelona",4
"27","Barnsley",1
"28","Bayonne",1
"29","Belfast",1
"30","Benidorm",1
"31","Bergamo",1
"32","Berlin",2
"33","Bialystok",1
"34","Biella",1
"35","Bielsko-Biala",1
"36","Bilbao",2
"37","Birmingham",1
"38","Blagoevgrad",1
"39","Bolzano",1
"40","Bor<e5>s",1
"41","Bordeaux",2
"42","Botosani",1
"43","Brasov",2
"44","Bremen",4
"45","Bremerhaven",1
"46","Brescia",1
"47","Brno",1
"48","Bruxelles / Brussel",6
"49","Bucuresti",1
"50","Budapest",4
"51","Burgas",2
"52","Burgos",1
"53","Buzau",1
"54","Bydgoszcz",2
"55","C<e1>ceres",1
"56","C<e1>diz",1
"57","C<f3>rdoba",2
"58","Cagliari",1
"59","Calais",2
"60","Campobasso",1
"61","Cardiff",1
"62","Cartagena",1
"63","Castell<f3>n de la Plana/Castell<f3> de la Plana",1
"64","Cesk<e9> Budejovice",1
"65","Ch<e2>lons-en-Champagne",1
"66","Charleville-M<e9>zi<e8>res",1
"67","Cherbourg",1
"68","Cluj-Napoca",1
"69","Colmar",1
"70","Como",1
"71","Coslada",1
"72","Cottbus",1
"73","Craiova",3
"74","Cremona",2
"75","Czestochowa",2
"76","Darmstadt",1
"77","Debrecen",1
"78","Derry",1
"79","Dos Hermanas",1
"80","Dresden",1
"81","Dublin",3
"82","Duisburg",1
"83","Dunkerque",2
"84","Edinburgh",1
"85","Elblag",1
"86","Elche/Elx",2
"87","Elda",1
"88","Erfurt",1
"89","Essen",1
"90","Ferrol",2
"91","Firenze",1
"92","Frankfurt (Oder)",1
"93","Frankfurt am Main",1
"94","Freiburg im Breisgau",1
"95","G<f6>rlitz",1
"96","G<f6>teborg",2
"97","G<f6>ttingen",1
"98","Gdansk",5
"99","Gdynia",2
"100","Genova",2
"101","Gent",1
"102","Gera",1
"103","Gij<f3>n",5
"104","Girona",1
"105","Giurgiu",2
"106","Gliwice",1
"107","Gorz<f3>w Wielkopolski",1
"108","Granada",2
"109","Graz",3
"110","Grenoble",1
"111","Grudziadz",1
"112","Gy<f5>r",2
"113","Halle an der Saale",1
"114","Hamburg",3
"115","Hanau",1
"116","Helsinki / Helsingfors",1
"117","Iasi",1
"118","Ingolstadt",1
"119","Innsbruck",1
"120","Inowroclaw",1
"121","Ja<e9>n",2
"122","Jerez de la Frontera",1
"123","Jihlava",1
"124","K<f6>ln",1
"125","K<f8>benhavn",1
"126","Kaiserslautern",1
"127","Kalisz",1
"128","Karlsruhe",1
"129","Karvin<e1>",1
"130","Kassel",1
"131","Katowice",2
"132","Kaunas",1
"133","Kielce",1
"134","Kingston-upon-Hull",1
"135","Kladno",1
"136","Klagenfurt",1
"137","Klaipeda",1
"138","Koblenz",1
"139","Konin",1
"140","Koszalin",1
"141","Krak<f3>w",3
"142","L<f3>dz",2
"143","La Spezia",2
"144","Le Havre",6
