Region,Type,Abundance
A,RedWhite,68
A,RedWhite,33
A,RedWhite,45
A,Mogollon,49
A,Mogollon,61
A,Mogollon,52
A,Mimbres,78
A,Mimbres,53
A,Mimbres,35
A,BoldFace,95
A,BoldFace,122
A,BoldFace,133
B,RedWhite,59
B,RedWhite,43
B,RedWhite,37
B,Mogollon,71
B,Mogollon,41
B,Mogollon,63
B,Mimbres,54
B,Mimbres,51
B,Mimbres,69
B,BoldFace,78
B,BoldFace,98
B,BoldFace,89
C,RedWhite,54
C,RedWhite,91
C,RedWhite,81
C,Mogollon,67
C,Mogollon,46
C,Mogollon,51
C,Mimbres,44
C,Mimbres,76
C,Mimbres,55
C,BoldFace,41
C,BoldFace,29
C,BoldFace,63
D,RedWhite,55
D,RedWhite,53
D,RedWhite,42
D,Mogollon,45
D,Mogollon,58
D,Mogollon,72
D,Mimbres,78
D,Mimbres,49
D,Mimbres,46
D,BoldFace,56
D,BoldFace,81
D,BoldFace,35
E,RedWhite,27
E,RedWhite,31
E,RedWhite,38
E,Mogollon,47
E,Mogollon,39
E,Mogollon,53
E,Mimbres,41
E,Mimbres,36
E,Mimbres,25
E,BoldFace,46
E,BoldFace,22
E,BoldFace,26
