date,static_level
Jan-80,-28
Feb-80,-36
Mar-80,-23
Apr-80,-14
May-80,-14
Jun-80,-48
Jul-80,
Aug-80,-64
Sep-80,
Oct-80,-55
Nov-80,-57
Dec-80,-58
Jan-81,-55
Feb-81,-26
Mar-81,-47
Apr-81,-47
May-81,
Jun-81,-53
Jul-81,-53
Aug-81,-55
Sep-81,-50
Oct-81,-48
Nov-81,-28
Dec-81,-22
Jan-82,-16
Feb-82,-11
Mar-82,-10
Apr-82,-8
May-82,-33
Jun-82,-37
Jul-82,-37
Aug-82,-38
Sep-82,-38
Oct-82,-37
Nov-82,-38
Dec-82,-10
Jan-83,
Feb-83,-26
Mar-83,-37
Apr-83,-29
May-83,-13
Jun-83,-27
Jul-83,-32
Aug-83,-34
Sep-83,-29
Oct-83,-21
Nov-83,-32
Dec-83,-32
Jan-84,-8
Feb-84,-28
Mar-84,-30
Apr-84,-23
May-84,-31
Jun-84,-32
Jul-84,
Aug-84,-34
Sep-84,-33
Oct-84,-9
Nov-84,-6
Dec-84,-17
Jan-85,-33
Feb-85,-37
Mar-85,-36
Apr-85,-38
May-85,-34
Jun-85,-43
Jul-85,-35
Aug-85,-42
Sep-85,-42
Oct-85,-42
Nov-85,-38
Dec-85,-41
Jan-86,
Feb-86,-34
Mar-86,-34
Apr-86,-41
May-86,-36
Jun-86,-39
Jul-86,-38
Aug-86,-45
Sep-86,-48
Oct-86,-50
Nov-86,-49
Dec-86,-41
Jan-87,-40
Feb-87,-42
Mar-87,-40
Apr-87,-40
May-87,-42
Jun-87,-42
Jul-87,-48
Aug-87,-51
Sep-87,-51
Oct-87,-51
Nov-87,-54
Dec-87,-54
Jan-88,-52
Feb-88,-50
Mar-88,-51
Apr-88,-55
May-88,-57
Jun-88,-56
Jul-88,-61
Aug-88,-61
Sep-88,-60
Oct-88,-61
Nov-88,-62
Dec-88,
Jan-89,-62
Feb-89,
Mar-89,-63
Apr-89,-62
May-89,-64
Jun-89,
Jul-89,-60
Aug-89,-63
Sep-89,-64
Oct-89,-66
Nov-89,-65
Dec-89,-67
Jan-90,-63
Feb-90,-64
Mar-90,-64
Apr-90,-66
May-90,-67
Jun-90,-68
Jul-90,-68
Aug-90,-67
Sep-90,-68
Oct-90,-67
Nov-90,-59
Dec-90,-59
Jan-91,-58
Feb-91,-63
Mar-91,-64
Apr-91,-59
May-91,-64
Jun-91,-58
Jul-91,-58
Aug-91,-55
Sep-91,-53
Oct-91,-55
Nov-91,-57
Dec-91,-50
Jan-92,-50
Feb-92,
Mar-92,-46
Apr-92,-50
May-92,-50
Jun-92,-51
Jul-92,-53
Aug-92,-53
Sep-92,-54
Oct-92,-54
Nov-92,-53
Dec-92,-52
Jan-93,-51
Feb-93,-39
Mar-93,-34
Apr-93,
May-93,-31
Jun-93,-30
Jul-93,
Aug-93,-42
Sep-93,-50
Oct-93,-50
Nov-93,-51
Dec-93,-50
Jan-94,
Feb-94,-50
Mar-94,-50
Apr-94,
May-94,-50
Jun-94,-50
Jul-94,-51
Aug-94,-51
Sep-94,-51
Oct-94,-51
Nov-94,-51
Dec-94,-50
Jan-95,
Feb-95,-48
Mar-95,-49
Apr-95,-48
May-95,-49
Jun-95,
Jul-95,-47
Aug-95,-50
Sep-95,-50
Oct-95,-49
Nov-95,-47
Dec-95,-48
Jan-96,-45
Feb-96,-31
Mar-96,-46
Apr-96,-44
May-96,
Jun-96,
Jul-96,-49
Aug-96,
Sep-96,-49
Oct-96,-49
Nov-96,-48
Dec-96,-46
Jan-97,-47
Feb-97,-43
Mar-97,-44
Apr-97,-45
May-97,-47
Jun-97,-46
Jul-97,-45
Aug-97,
Sep-97,-44
Oct-97,-47
Nov-97,-48
Dec-97,-45
Jan-98,
Feb-98,-41
Mar-98,-21
Apr-98,-22
May-98,
Jun-98,-15
Jul-98,-37
Aug-98,-50
Sep-98,-45
Oct-98,-46
Nov-98,-38
Dec-98,-40
Jan-99,-43
Feb-99,-47
Mar-99,-47
Apr-99,-33
May-99,-37
Jun-99,-45
Jul-99,-34
Aug-99,-34
Sep-99,
Oct-99,-53
Nov-99,-50
Dec-99,-44
Jan-00,-44
Feb-00,-42
Mar-00,-41
Apr-00,-40
May-00,-27
Jun-00,-38
Jul-00,-44
Aug-00,
Sep-00,-54
Oct-00,-49
Nov-00,-48
Dec-00,-47
1-Jan,-43
1-Feb,-15
1-Mar,
1-Apr,-14
1-May,-28
1-Jun,-31
1-Jul,-35
1-Aug,-36
1-Sep,-40
1-Oct,-35
1-Nov,-35
1-Dec,-14
2-Jan,-10
2-Feb,-11
2-Mar,-31
2-Apr,-27
2-May,-26
2-Jun,-35
2-Jul,-35
2-Aug,-38
2-Sep,
2-Oct,-35
2-Nov,-36
2-Dec,-36
3-Jan,
3-Feb,
3-Mar,
3-Apr,-29
3-May,-29
3-Jun,
3-Jul,-30
3-Aug,-30
3-Sep,-32
3-Oct,-30
3-Nov,-33
3-Dec,-29
4-Jan,
4-Feb,-30
4-Mar,
4-Apr,-24
4-May,-27
4-Jun,-29
4-Jul,-29
4-Aug,
4-Sep,-30
4-Oct,-30
4-Nov,-28
4-Dec,-28
5-Jan,-25
5-Feb,-4
5-Mar,-1
5-Apr,
5-May,0
5-Jun,-7
5-Jul,-20
5-Aug,-25
5-Sep,-35
5-Oct,-40
5-Nov,-39
5-Dec,-32
6-Jan,-32
6-Feb,-30
6-Mar,
6-Apr,-20
6-May,
6-Jun,-29
6-Jul,-24
6-Aug,-33
6-Sep,-37
6-Oct,-32
6-Nov,-32
6-Dec,-32
7-Jan,-25
7-Feb,-25
7-Mar,-24
7-Apr,-24
7-May,-33
7-Jun,-38
7-Jul,-45
7-Aug,-40
7-Sep,-40
7-Oct,-41
7-Nov,
7-Dec,
8-Jan,
8-Feb,-15
8-Mar,
8-Apr,-26
8-May,-45
8-Jun,-45
8-Jul,-47
8-Aug,
8-Sep,
8-Oct,-44
8-Nov,
8-Dec,-45
9-Jan,-26
9-Feb,-25
9-Mar,-35
9-Apr,
9-May,-48
9-Jun,-52
9-Jul,
9-Aug,-57
9-Sep,-58
9-Oct,-57
9-Nov,-54
9-Dec,
10-Jan,-33
10-Feb,-50
10-Mar,
10-Apr,-50
10-May,
10-Jun,
10-Jul,
10-Aug,
10-Sep,
10-Oct,-67
10-Nov,
10-Dec,
11-Jan,-45
11-Feb,
11-Mar,-32
11-Apr,-35
11-May,-79
11-Jun,-40
11-Jul,-50
11-Aug,-55
11-Sep,
11-Oct,-50
11-Nov,
11-Dec,-41
12-Jan,-30
12-Feb,-36
12-Mar,-36
12-Apr,-38
12-May,
12-Jun,-36
12-Jul,-54
12-Aug,
12-Sep,-54
12-Oct,-55
12-Nov,-49
12-Dec,-59
13-Jan,-57
13-Feb,-51
13-Mar,-52
13-Apr,-51
13-May,-49
13-Jun,-57
13-Jul,-62
13-Aug,-62
13-Sep,-74
13-Oct,-63
13-Nov,-59
13-Dec,-55
14-Jan,-54
14-Feb,-55
14-Mar,-58
14-Apr,-65
14-May,-66.5
14-Jun,-66
14-Jul,-64
14-Aug,-68
14-Sep,-66
14-Oct,-67
14-Nov,-73
14-Dec,-72
15-Jan,-71
15-Feb,-71
15-Mar,-61
15-Apr,-66
15-May,-74
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2/15/15,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2/11/15,
