"date","tmin","tmax","rain","year","month","day","wy"
"1",10/01/41,8.39170587711,18.25804876,0,1941,10,1,1942
"2",10/02/41,4.69093132963,17.22192324,0,1941,10,2,1942
"3",10/03/41,6.54131860337,12.01632876,0,1941,10,3,1942
"4",10/04/41,9.13052957274,15.13718876,0,1941,10,4,1942
"5",10/05/41,4.32484751648,15.13718876,0,1941,10,5,1942
"6",10/06/41,2.47446024274,9.58829968,0,1941,10,6,1942
"7",10/07/41,3.57936775152,11.67303416,0,1941,10,7,1942
"8",10/08/41,4.69093132963,12.36586508,0,1941,10,8,1942
"9",10/09/41,4.69093132963,11.67303416,0,1941,10,9,1942
"10",10/10/41,6.16857872089,15.48672508,0,1941,10,10,1942
"11",10/11/41,6.90740241652,16.52909232,0,1941,10,11,1942
"12",10/12/41,8.01896599463,16.179556,0,1941,10,12,1942
"13",10/13/41,7.65288218148,16.179556,0,1941,10,13,1942
"14",10/14/41,7.280142299,15.13718876,0,1941,10,14,1942
"15",10/15/41,3.21328393837,14.79389416,0,1941,10,15,1942
"16",10/16/41,8.01896599463,14.10106324,0,1941,10,16,1942
"17",10/17/41,8.39170587711,13.40823232,0,1941,10,17,1942
"18",10/18/41,8.01896599463,14.79389416,0,1941,10,18,1942
"19",10/19/41,6.16857872089,14.44435784,0,1941,10,19,1942
"20",10/20/41,1.36289666463,8.20263784,20.64,1941,10,20,1942
"21",10/21/41,2.47446024274,5.08177784,1.29,1941,10,21,1942
"22",10/22/41,2.47446024274,5.77460876,0,1941,10,22,1942
"23",10/23/41,2.47446024274,9.937836,0,1941,10,23,1942
"24",10/24/41,3.952107634,9.24500508,1.29,1941,10,24,1942
"25",10/25/41,4.69093132963,8.55217416,0,1941,10,25,1942
"26",10/26/41,3.57936775152,9.58829968,0,1941,10,26,1942
"27",10/27/41,3.952107634,7.50980692,52.89,1941,10,27,1942
"28",10/28/41,0.99681285148,6.816976,5.16,1941,10,28,1942
"29",10/29/41,1.36289666463,7.16651232,0,1941,10,29,1942
"30",10/30/41,1.73563654711,10.28737232,0,1941,10,30,1942
"31",10/31/41,3.21328393837,10.98020324,0,1941,10,31,1942
"32",11/01/41,4.69093132963,11.67303416,7.74,1941,11,1,1942
"33",11/02/41,6.90740241652,11.67303416,9.03,1941,11,2,1942
"34",11/03/41,6.90740241652,14.10106324,0,1941,11,3,1942
"35",11/04/41,6.90740241652,14.10106324,0,1941,11,4,1942
"36",11/05/41,6.54131860337,17.22192324,0,1941,11,5,1942
"37",11/06/41,6.724360509945,17.04715508,0,1941,11,6,1942
"38",11/07/41,6.90740241652,16.87238692,0,1941,11,7,1942
"39",11/08/41,8.01896599463,15.13718876,0,1941,11,8,1942
"40",11/09/41,4.69093132963,14.10106324,0,1941,11,9,1942
"41",11/10/41,4.69093132963,14.44435784,0,1941,11,10,1942
"42",11/11/41,4.32484751648,13.75152692,0,1941,11,11,1942
"43",11/12/41,3.57936775152,11.67303416,0,1941,11,12,1942
"44",11/13/41,3.57936775152,12.70915968,0,1941,11,13,1942
"45",11/14/41,5.42975502526,15.13718876,0,1941,11,14,1942
"46",11/15/41,6.16857872089,15.48672508,0,1941,11,15,1942
"47",11/16/41,3.952107634,11.32349784,1.29,1941,11,16,1942
"48",11/17/41,-0.48749060911,7.16651232,18.06,1941,11,17,1942
"49",11/18/41,-3.44278539163,4.38894692,0,1941,11,18,1942
"50",11/19/41,-3.07670157848,4.38894692,0,1941,11,19,1942
"51",11/20/41,-2.703961696,5.77460876,0,1941,11,20,1942
"52",11/21/41,-0.48749060911,7.16651232,0,1941,11,21,1942
"53",11/22/41,0.25133308652,8.55217416,0,1941,11,22,1942
"54",11/23/41,0.25133308652,10.63066692,0,1941,11,23,1942
"55",11/24/41,2.10172036026,13.058696,0,1941,11,24,1942
"56",11/25/41,3.57936775152,13.75152692,0,1941,11,25,1942
"57",11/26/41,3.57936775152,13.75152692,0,1941,11,26,1942
"58",11/27/41,3.952107634,10.63066692,0,1941,11,27,1942
"59",11/28/41,2.84054405589,11.32349784,0,1941,11,28,1942
"60",11/29/41,3.952107634,9.937836,41.28,1941,11,29,1942
"61",11/30/41,3.21328393837,9.24500508,1.29,1941,11,30,1942
"62",12/01/41,3.21328393837,12.70915968,0,1941,12,1,1942
"63",12/02/41,5.06367121211,12.36586508,1.29,1941,12,2,1942
"64",12/03/41,1.36289666463,10.63066692,96.75,1941,12,3,1942
